mois_non_declares,solde,mois_payes_spontane_dern_seg,anciennete_mois,recence_decl_mois,recence_seg_mois,ecart_mois_decl_vs_seg,regime,centre_impot,segment,activite,RISQUE_BIN
7.0,1294982.0,1.0,32.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 1,J,ACTIVITES FOURNIES PRINCIPALEMENT AUX ENTREPRISES,0.0
-1.0,856910.0,2.0,36.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 1,J,ACTIVITES FINANCIERES ET D'ASSURANCE,0.0
0.0,-31.0,3.0,120.0,0.0,0.0,0.0,1,DIRECTION DES GRANDES ENTREPRISES,V,ACTIVITES FOURNIES PRINCIPALEMENT AUX ENTREPRISES,1.0
-1.0,68500.0,2.0,2.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 2,V,ACTIVITES FOURNIES PRINCIPALEMENT AUX ENTREPRISES,0.0
0.0,1721754.0,1.0,23.0,0.0,0.0,0.0,1,CENTRE DES IMPOTS DES MOYENNES ENTREPRISES DOUALA AKWA 1,J,TRANSITAIRES ET AGREES EN DOUANE,1.0
1.0,709365.0,2.0,46.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 1,J,SERVICES PERSONNELS N.C.A,0.0
-1.0,276824.0,2.0,55.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 1,J,SERVICES FINANCIERS,0.0
-1.0,-536712.0,3.0,58.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 1,J,SERVICES FINANCIERS,0.0
-1.0,95204.0,3.0,83.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 1,V,ACHETEUR PRODUITS CRUS INDETERMINES,0.0
-1.0,446840.0,3.0,25.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 1,J,COMMERCE DE GROS ET DE DETAIL,1.0
0.0,202189640.0,0.0,184.0,0.0,0.0,0.0,1,CSPLI CENTRE DIVISIONAIRE DES IMPÔTS DOUALA 1,R,SERV. FOURN. AUX ENTREPRISES,1.0
-1.0,651972.0,3.0,31.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 1,J,"BATIMENTS ET TRAVAUX PUBLICS : ENTREPRISES GENERALES DE BATIMENT, ENTREPRISES DE PEINTURE, D?INSTALLATIONS SANITAIRES, D?INSTALLATIONS ELECTRIQUES, DE ZINGUERIE, DE PLOMBERIE, DE VITRERIE ; CONSTRUCTION ET ENTRETIEN DES ROUTES, VOIES FERREES, CANALISATION D?EAU (OUVRAGES D?ART EXCLUS)",1.0
0.0,53875.0,0.0,9.0,0.0,0.0,0.0,2,CENTRE DIV IMPOTS DE DOUALA 3,R,"AGRICULTURE ET ENTREPRISES AGRO-PASTORALES, HORTICULTURE, SYLVICULTURE",0.0
0.0,-63.0,3.0,22.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 1,V,ACTIVITES FOURNIES PRINCIPALEMENT AUX ENTREPRISES,0.0
-1.0,256525.0,3.0,87.0,0.0,0.0,0.0,1,DIRECTION DES GRANDES ENTREPRISES,V,COMMERCE GENERAL,0.0
0.0,116963.0,0.0,3.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 6,R,ACTIVITES FOURNIES PRINCIPALEMENT AUX ENTREPRISES,0.0
-1.0,3704488.0,3.0,72.0,0.0,0.0,0.0,1,CIME CENTRE DIVISIONAIRE DES IMPÔTS DOUALA 2,J,"IMPORTATEUR COMMERCE GENERAL,PRODUITS INDETERMINES",0.0
-1.0,288183.0,2.0,47.0,0.0,0.0,0.0,1,DIRECTION DES GRANDES ENTREPRISES,J,SERV. FOURN. AUX PARTICULIERS m,1.0
-1.0,1451508.0,3.0,53.0,0.0,0.0,0.0,1,DIRECTION DES GRANDES ENTREPRISES,V,"INDUSTRIE DU LAIT, DES FRUITS ET LEGUMES ET AUTRES PRODUITS ALIMENTAIRES",0.0
0.0,85077.0,2.0,36.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 2,J,COMMERCE GENERAL,0.0
-1.0,241296825.0,3.0,785.0,0.0,0.0,0.0,1,DIRECTION DES GRANDES ENTREPRISES,V,TRANSITAIRES ET AGREES EN DOUANE,1.0
1.0,22554.0,0.0,3.0,0.0,0.0,0.0,1,CENTRE DES IMPOTS DES MOYENNES ENTREPRISES DOUALA AKWA 2,R,TRANSPORTS URBAINS,1.0
-1.0,615412.0,3.0,111.0,0.0,0.0,0.0,1,CIME CENTRE DIVISIONAIRE DES IMPÔTS DOUALA 1,V,"BATIMENTS ET TRAVAUX PUBLICS : ENTREPRISES GENERALES DE BATIMENT, ENTREPRISES DE PEINTURE, D?INSTALLATIONS SANITAIRES, D?INSTALLATIONS ELECTRIQUES, DE ZINGUERIE, DE PLOMBERIE, DE VITRERIE ; CONSTRUCTION ET ENTRETIEN DES ROUTES, VOIES FERREES, CANALISATION D?EAU (OUVRAGES D?ART EXCLUS)",1.0
-1.0,131913.0,0.0,36.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 1,R,SERV. FOURN. AUX ENTREPRISES,0.0
0.0,91682.0,0.0,61.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 1,R,COMMERCE GENERAL,0.0
5.0,2094813512.0,3.0,438.0,0.0,0.0,0.0,1,DIRECTION DES GRANDES ENTREPRISES,J,ENTREPRISES DE GARDIENNAGE ET DE SURVEILLANCE ;,1.0
-1.0,52347.0,2.0,113.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 1,J,SERV. FOURN. AUX ENTREPRISES,0.0
0.0,171665.0,3.0,94.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 1,V,TRANSITAIRE ET AUXILIAIRES DES TRANSPORTS,1.0
0.0,10138.0,2.0,171.0,0.0,0.0,0.0,1,CSPLI CENTRE DIVISIONAIRE DES IMPÔTS DOUALA 1,J,ACTIVITES RELEVANT LA PECHE NON CLASSEES,1.0
0.0,493825.0,0.0,204.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 10,R,BATIMENT ET TRAVAUX PUBLICS,1.0
0.0,210164.0,1.0,257.0,0.0,0.0,0.0,1,CIME CENTRE DIVISIONAIRE DES IMPÔTS DOUALA 1,J,SERV. FOURN. AUX ENTREPRISES,0.0
-1.0,76399.0,3.0,40.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 1,V,CONSEIL JURIDIQUE,0.0
0.0,-599.0,3.0,333.0,0.0,0.0,0.0,1,CIME CENTRE DIVISIONAIRE DES IMPÔTS DOUALA 1,V,SERV. FOURN. AUX ENTREPRISES,1.0
0.0,10414.0,3.0,18.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 3,V,TOUS TRAVAUX DE MANUTENTION,1.0
-1.0,265781.0,3.0,776.0,0.0,0.0,0.0,1,CENTRE DES IMPOTS DES PROFESSIONS LIBERALES DOUALA,V,ACTIVITES IMMOBILIERES,0.0
